repo_name,file_path,method_name,start_line,end_line,cc,lloc,difficulty,smell_label,coverage_percent,coverage_bucket,risk_category,recommendations
jinja2,src/jinja2/runtime.py,__aiter__,639,640,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
attrs,src/attr/_make.py,__bool__,72,73,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/lexer.py,__bool__,340,341,2,2,1.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__bool__,894,895,2,2,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__bool__,952,954,2,3,0.0,LOW,100.0,HIGH,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__call__,567,578,2,5,0.5,LOW,25.0,LOW,Low Value,Increase coverage by adding input boundary tests
attrs,src/attr/validators.py,__call__,417,426,3,7,0.5,LOW,60.0,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__call__,456,462,3,5,0.5,LOW,57.14,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/runtime.py,__call__,689,763,6,39,4.7727272727272725,HIGH,41.33,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
attrs,src/attr/validators.py,__call__,520,526,3,5,0.5,LOW,57.14,MEDIUM,Safe Zone,No immediate testing action required
attrs,src/attr/validators.py,__call__,548,554,3,5,0.5,LOW,57.14,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/lexer.py,__call__,263,264,2,2,0.0,LOW,50.0,MEDIUM,Safe Zone,No immediate testing action required
jinja2,src/jinja2/visitor.py,__call__,12,13,2,2,0.0,LOW,0.0,ZERO,Low Value,Add basic smoke tests to ensure execution paths are covered; Increase coverage by adding input boundary tests
attrs,src/attr/validators.py,__call__,330,344,3,5,0.5,LOW,26.67,LOW,Low Value,Increase coverage by adding input boundary tests
jinja2,src/jinja2/runtime.py,__call__,35,41,2,2,0.0,LOW,0.0,ZERO,Low Value,Add basic smoke tests to ensure execution paths are covered; Increase coverage by adding input boundary tests
