repo_name,file_path,method_name,start_line,end_line,cc,lloc,difficulty,smell_label,coverage_percent,coverage_bucket,risk_category,recommendations
attrs,src/attr/_make.py,_attrs_to_init_script,2237,2524,46,133,5.274647887323944,HIGH,40.97,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/lexer.py,tokeniter,667,866,14,104,10.02542372881356,HIGH,40.5,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/compiler.py,visit_For,1156,1293,4,96,3.7058823529411766,HIGH,67.39,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/ext.py,parse,354,474,7,83,9.11111111111111,HIGH,59.5,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/compiler.py,visit_Template,826,942,4,80,4.375,HIGH,62.39,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
attrs,src/attr/_make.py,_create_slots_class,867,1011,6,69,4.714285714285714,HIGH,41.38,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/compiler.py,macro_body,611,692,4,56,4.5,HIGH,63.41,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
attrs,src/attr/_make.py,attrs,1306,1715,4,55,4.047619047619048,HIGH,12.2,LOW,Hidden Risk,Write tests immediately before modifying this code; Increase coverage by adding input boundary tests; Consider decomposing this method; add focused unit tests per responsibility
jinja2,src/jinja2/utils.py,urlize,221,339,24,51,5.8,HIGH,33.61,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/compiler.py,visit_Output,1478,1555,4,49,7.6923076923076925,HIGH,55.13,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
attrs,src/attr/_make.py,_transform_attrs,494,600,31,47,4.586206896551724,HIGH,39.25,MEDIUM,Refactor Candidate,Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
attrs,src/attr/_make.py,wrap,1608,1708,4,45,4.102564102564102,HIGH,40.59,MEDIUM,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,src/jinja2/parser.py,subparse,981,1028,5,44,2.625,HIGH,75.0,HIGH,Refactor Candidate,Consider decomposing this method; add focused unit tests per responsibility; Safe to refactor after ensuring existing tests capture current behavior
jinja2,docs/examples/inline_gettext_extension.py,filter_stream,22,72,16,44,6.157894736842105,HIGH,0.0,ZERO,Hidden Risk,Write tests immediately before modifying this code; Add basic smoke tests to ensure execution paths are covered; Increase coverage by adding input boundary tests; Add branch and conditional path tests due to high cyclomatic complexity; Consider decomposing this method; add focused unit tests per responsibility
